,stoptime_,end_station_id_,n2_,b2_,bikeid_,tripduration,starttime,stoptime,start_station_id,n1,b1,end_station_id,n2,b2,birth_year,gender,bikeid,usertype,starttime_time,over_45,day_start,id_x,docks_x,id_y,docks_y,time_lapsed,same_station
165966,2014-12-12 21:18:20,466.0,Flatiron District,Manhattan,21415.0,797,2014-12-12 21:29:45,2014-12-12 21:43:02,466,Flatiron District,Manhattan,379,Chelsea,Manhattan,1984.0,1,21415,Subscriber,1289,0,Friday,466,35,379,42,0 days 00:11:25.000000000,True
166725,2014-12-12 21:43:02,379.0,Chelsea,Manhattan,21415.0,360,2014-12-12 23:47:25,2014-12-12 23:53:25,379,Chelsea,Manhattan,537,Kips Bay,Manhattan,1964.0,1,21415,Subscriber,1427,0,Friday,379,42,537,39,0 days 02:04:23.000000000,True
166834,2014-12-12 23:53:25,537.0,Kips Bay,Manhattan,21415.0,922,2014-12-13 00:10:44,2014-12-13 00:26:06,537,Kips Bay,Manhattan,479,Hell's Kitchen,Manhattan,1972.0,1,21415,Subscriber,10,0,Saturday,537,39,479,31,0 days 00:17:19.000000000,True
167135,2014-12-13 00:26:06,479.0,Hell's Kitchen,Manhattan,21415.0,502,2014-12-13 01:41:52,2014-12-13 01:50:14,479,Hell's Kitchen,Manhattan,318,Midtown,Manhattan,1969.0,1,21415,Subscriber,101,0,Saturday,479,31,318,31,0 days 01:15:46.000000000,True
167426,2014-12-13 01:50:14,318.0,Midtown,Manhattan,21415.0,562,2014-12-13 06:29:50,2014-12-13 06:39:12,318,Midtown,Manhattan,469,Midtown,Manhattan,1969.0,1,21415,Subscriber,389,0,Saturday,318,31,469,57,0 days 04:39:36.000000000,True
168192,2014-12-13 06:39:12,469.0,Midtown,Manhattan,21415.0,286,2014-12-13 09:29:11,2014-12-13 09:33:57,469,Midtown,Manhattan,422,Upper West Side,Manhattan,1982.0,1,21415,Subscriber,569,0,Saturday,469,57,422,51,0 days 02:49:59.000000000,True
169444,2014-12-13 09:33:57,422.0,Upper West Side,Manhattan,21415.0,914,2014-12-13 11:09:23,2014-12-13 11:24:37,422,Upper West Side,Manhattan,509,Chelsea,Manhattan,1975.0,1,21415,Subscriber,669,0,Saturday,422,51,509,34,0 days 01:35:26.000000000,True
169993,2014-12-13 11:24:37,509.0,Chelsea,Manhattan,21415.0,349,2014-12-13 11:44:19,2014-12-13 11:50:08,509,Chelsea,Manhattan,466,Flatiron District,Manhattan,1977.0,2,21415,Subscriber,704,0,Saturday,509,34,466,35,0 days 00:19:42.000000000,True
171698,2014-12-13 11:50:08,466.0,Flatiron District,Manhattan,21415.0,410,2014-12-13 13:20:02,2014-12-13 13:26:52,466,Flatiron District,Manhattan,462,Chelsea,Manhattan,1977.0,2,21415,Subscriber,800,0,Saturday,466,35,462,47,0 days 01:29:54.000000000,True
174284,2014-12-13 13:26:52,462.0,Chelsea,Manhattan,21415.0,457,2014-12-13 15:34:31,2014-12-13 15:42:08,462,Chelsea,Manhattan,490,Chelsea,Manhattan,1972.0,1,21415,Subscriber,934,0,Saturday,462,47,490,59,0 days 02:07:39.000000000,True
174920,2014-12-13 15:42:08,490.0,Chelsea,Manhattan,21415.0,753,2014-12-13 16:11:17,2014-12-13 16:23:50,490,Chelsea,Manhattan,462,Chelsea,Manhattan,1972.0,1,21415,Subscriber,971,0,Saturday,490,59,462,47,0 days 00:29:09.000000000,True
186214,2014-12-13 16:23:50,462.0,Chelsea,Manhattan,21415.0,2569,2014-12-14 15:40:07,2014-12-14 16:22:56,417,Tribeca,Manhattan,513,Hell's Kitchen,Manhattan,1962.0,1,21415,Subscriber,940,0,Sunday,417,47,513,27,0 days 23:16:17.000000000,False
189302,2014-12-14 16:22:56,513.0,Hell's Kitchen,Manhattan,21415.0,293,2014-12-14 19:05:54,2014-12-14 19:10:47,513,Hell's Kitchen,Manhattan,468,Midtown,Manhattan,1984.0,1,21415,Subscriber,1145,0,Sunday,513,27,468,59,0 days 02:42:58.000000000,True
189412,2014-12-14 19:10:47,468.0,Midtown,Manhattan,21415.0,215,2014-12-14 19:17:11,2014-12-14 19:20:46,468,Midtown,Manhattan,499,Upper West Side,Manhattan,,0,21415,Customer,1157,0,Sunday,468,59,499,36,0 days 00:06:24.000000000,True
192907,2014-12-14 19:20:46,499.0,Upper West Side,Manhattan,21415.0,500,2014-12-15 07:50:22,2014-12-15 07:58:42,499,Upper West Side,Manhattan,464,Midtown,Manhattan,1963.0,1,21415,Subscriber,470,0,Monday,499,36,464,59,0 days 12:29:36.000000000,True
195992,2014-12-15 07:58:42,464.0,Midtown,Manhattan,21415.0,224,2014-12-15 09:35:34,2014-12-15 09:39:18,464,Midtown,Manhattan,2022,Upper East Side,Manhattan,1969.0,1,21415,Subscriber,575,0,Monday,464,59,2022,33,0 days 01:36:52.000000000,True
205205,2014-12-15 09:39:18,2022.0,Upper East Side,Manhattan,21415.0,633,2014-12-15 18:08:05,2014-12-15 18:18:38,2021,Hell's Kitchen,Manhattan,318,Midtown,Manhattan,1960.0,1,21415,Subscriber,1088,0,Monday,2021,43,318,31,0 days 08:28:47.000000000,False
205628,2014-12-15 18:18:38,318.0,Midtown,Manhattan,21415.0,1230,2014-12-15 18:19:48,2014-12-15 18:40:18,318,Midtown,Manhattan,295,Chinatown,Manhattan,1988.0,1,21415,Subscriber,1099,0,Monday,318,31,295,24,0 days 00:01:10.000000000,True
207612,2014-12-15 18:40:18,295.0,Chinatown,Manhattan,21415.0,579,2014-12-15 19:29:04,2014-12-15 19:38:43,295,Chinatown,Manhattan,293,East Village,Manhattan,1985.0,1,21415,Subscriber,1169,0,Monday,295,24,293,55,0 days 00:48:46.000000000,True
209196,2014-12-15 19:38:43,293.0,East Village,Manhattan,21415.0,867,2014-12-15 21:09:48,2014-12-15 21:24:15,368,West Village,Manhattan,350,Lower East Side,Manhattan,1966.0,1,21415,Subscriber,1269,0,Monday,368,38,350,28,0 days 01:31:05.000000000,False
213310,2014-12-15 21:24:15,350.0,Lower East Side,Manhattan,21415.0,772,2014-12-16 08:16:28,2014-12-16 08:29:20,350,Lower East Side,Manhattan,297,Gramercy,Manhattan,1959.0,2,21415,Subscriber,496,0,Tuesday,350,28,297,3,0 days 10:52:13.000000000,True
214490,2014-12-16 08:29:20,297.0,Gramercy,Manhattan,21415.0,1027,2014-12-16 08:47:48,2014-12-16 09:04:55,297,Gramercy,Manhattan,137,Midtown,Manhattan,1986.0,1,21415,Subscriber,527,0,Tuesday,297,3,137,46,0 days 00:18:28.000000000,True
221078,2014-12-16 09:04:55,137.0,Midtown,Manhattan,21415.0,963,2014-12-16 15:00:16,2014-12-16 15:16:19,137,Midtown,Manhattan,490,Chelsea,Manhattan,1965.0,1,21415,Subscriber,900,0,Tuesday,137,46,490,59,0 days 05:55:21.000000000,True
229381,2014-12-16 15:16:19,490.0,Chelsea,Manhattan,21415.0,959,2014-12-17 08:07:03,2014-12-17 08:23:02,521,Chelsea,Manhattan,305,Midtown,Manhattan,1978.0,1,21415,Subscriber,487,0,Wednesday,521,67,305,33,0 days 16:50:44.000000000,False
231170,2014-12-17 08:23:02,305.0,Midtown,Manhattan,21415.0,555,2014-12-17 08:57:18,2014-12-17 09:06:33,305,Midtown,Manhattan,318,Midtown,Manhattan,1977.0,2,21415,Subscriber,537,0,Wednesday,305,33,318,31,0 days 00:34:16.000000000,True
231577,2014-12-17 09:06:33,318.0,Midtown,Manhattan,21415.0,688,2014-12-17 09:09:17,2014-12-17 09:20:45,318,Midtown,Manhattan,494,Chelsea,Manhattan,1964.0,1,21415,Subscriber,549,0,Wednesday,318,31,494,35,0 days 00:02:44.000000000,True
232012,2014-12-17 09:20:45,494.0,Chelsea,Manhattan,21415.0,361,2014-12-17 09:23:31,2014-12-17 09:29:32,494,Chelsea,Manhattan,388,Chelsea,Manhattan,1981.0,1,21415,Subscriber,563,0,Wednesday,494,35,388,35,0 days 00:02:46.000000000,True
240897,2014-12-17 09:29:32,388.0,Chelsea,Manhattan,21415.0,626,2014-12-17 17:32:57,2014-12-17 17:43:23,388,Chelsea,Manhattan,174,Kips Bay,Manhattan,1980.0,1,21415,Subscriber,1052,0,Wednesday,388,35,174,30,0 days 08:03:25.000000000,True
242488,2014-12-17 17:43:23,174.0,Kips Bay,Manhattan,21415.0,407,2014-12-17 18:16:46,2014-12-17 18:23:33,174,Kips Bay,Manhattan,511,Stuyvesant Town,Manhattan,1988.0,1,21415,Subscriber,1096,0,Wednesday,174,30,511,33,0 days 00:33:23.000000000,True
242953,2014-12-17 18:23:33,511.0,Stuyvesant Town,Manhattan,21415.0,1124,2014-12-17 18:29:32,2014-12-17 18:48:16,511,Stuyvesant Town,Manhattan,355,Chinatown,Manhattan,1970.0,1,21415,Subscriber,1109,0,Wednesday,511,33,355,43,0 days 00:05:59.000000000,True
246233,2014-12-17 18:48:16,355.0,Chinatown,Manhattan,21415.0,306,2014-12-17 21:29:23,2014-12-17 21:34:29,355,Chinatown,Manhattan,224,Financial District,Manhattan,1972.0,1,21415,Subscriber,1289,0,Wednesday,355,43,224,31,0 days 02:41:07.000000000,True
248602,2014-12-17 21:34:29,224.0,Financial District,Manhattan,21415.0,423,2014-12-18 07:19:45,2014-12-18 07:26:48,224,Financial District,Manhattan,249,Tribeca,Manhattan,1972.0,1,21415,Subscriber,439,0,Thursday,224,31,249,27,0 days 09:45:16.000000000,True
262615,2014-12-18 07:26:48,249.0,Tribeca,Manhattan,21415.0,260,2014-12-18 18:49:19,2014-12-18 18:53:39,249,Tribeca,Manhattan,257,Tribeca,Manhattan,1981.0,1,21415,Subscriber,1129,0,Thursday,249,27,257,38,0 days 11:22:31.000000000,True
282973,2014-12-18 18:53:39,257.0,Tribeca,Manhattan,21415.0,268,2014-12-19 22:34:57,2014-12-19 22:39:25,257,Tribeca,Manhattan,79,Tribeca,Manhattan,1971.0,1,21415,Subscriber,1354,0,Friday,257,38,79,33,1 days 03:41:18.000000000,True
283021,2014-12-19 22:39:25,79.0,Tribeca,Manhattan,21415.0,1085,2014-12-19 22:46:02,2014-12-19 23:04:07,79,Tribeca,Manhattan,462,Chelsea,Manhattan,1974.0,1,21415,Subscriber,1366,0,Friday,79,33,462,47,0 days 00:06:37.000000000,True
284095,2014-12-19 23:04:07,462.0,Chelsea,Manhattan,21415.0,351,2014-12-20 08:18:21,2014-12-20 08:24:12,462,Chelsea,Manhattan,435,Chelsea,Manhattan,1982.0,1,21415,Subscriber,498,0,Saturday,462,47,435,47,0 days 09:14:14.000000000,True
285044,2014-12-20 08:24:12,435.0,Chelsea,Manhattan,21415.0,547,2014-12-20 10:29:22,2014-12-20 10:38:29,435,Chelsea,Manhattan,127,West Village,Manhattan,1966.0,1,21415,Subscriber,629,0,Saturday,435,47,127,31,0 days 02:05:10.000000000,True
285500,2014-12-20 10:38:29,127.0,West Village,Manhattan,21415.0,288,2014-12-20 11:11:45,2014-12-20 11:16:33,127,West Village,Manhattan,377,SoHo,Manhattan,1980.0,1,21415,Subscriber,671,0,Saturday,127,31,377,47,0 days 00:33:16.000000000,True
285805,2014-12-20 11:16:33,377.0,SoHo,Manhattan,21415.0,468,2014-12-20 11:36:32,2014-12-20 11:44:20,377,SoHo,Manhattan,250,Nolita,Manhattan,1982.0,1,21415,Subscriber,696,0,Saturday,377,47,250,40,0 days 00:19:59.000000000,True
287892,2014-12-20 11:44:20,250.0,Nolita,Manhattan,21415.0,337,2014-12-20 14:13:32,2014-12-20 14:19:09,250,Nolita,Manhattan,150,East Village,Manhattan,1985.0,1,21415,Subscriber,853,0,Saturday,250,40,150,31,0 days 02:29:12.000000000,True
291693,2014-12-20 14:19:09,150.0,East Village,Manhattan,21415.0,908,2014-12-20 19:38:32,2014-12-20 19:53:40,150,East Village,Manhattan,326,East Village,Manhattan,1954.0,1,21415,Subscriber,1178,0,Saturday,150,31,326,27,0 days 05:19:23.000000000,True
298954,2014-12-20 19:53:40,326.0,East Village,Manhattan,21415.0,1120,2014-12-21 16:52:21,2014-12-21 17:11:01,326,East Village,Manhattan,519,Murray Hill,Manhattan,1985.0,1,21415,Subscriber,1012,0,Sunday,326,27,519,61,0 days 20:58:41.000000000,True
